code,name,type
A01.011,"penicillopepsin JT-2",alternative
A01.011,"aspartic proteinase ({Penicillium janthinellum})",index
A01.012,rhizopuspepsin,real
A01.012,"protease type XVIII ({Rhizopus} sp.)",alternative
A01.012,"{Rhizopus} aspartic proteinase",alternative
A01.012,"secreted aspartic proteinase",alternative
A01.012,"SAP1 g.p. ({Rhizopus oryzae})",alternative
A01.012,"SAP2 g.p. ({Rhizopus oryzae})",alternative
A01.012,"SAP3 g.p. ({Rhizopus oryzae})",alternative
A01.012,"SAP4 g.p. ({Rhizopus oryzae})",alternative
A01.012,"aspartic proteinase ({Rhizopus})aspartic proteinase, secretedSAP",index
A01.013,mucorpepsin,real
A01.013,"{Mucor} rennin",alternative
A01.013,"{Rhizomucor} rennin",alternative
A01.013,Rennilase,alternative
A01.013,"rennin ({Rhizomucor/Mucor})",index
A01.014,"candidapepsin SAP1",real
A01.014,"secreted aspartic proteinase 1 ({Candida albicans})",alternative
A01.014,"SAP1 g.p. ({Candida albicans})",alternative
A01.014,"SAP1 proteinase ({Candida albicans})",alternative
A01.014,"{Candida albicans} secreted aspartic proteinase 1",index
A01.015,barrierpepsin,real
A01.015,"alpha-factor protease",alternative
A01.015,"Bar g.p. ({Saccharomyces cerevisiae})",alternative
A01.015,"Bar1 peptidase",alternative
A01.015,"barrier proteinase",alternative
A01.016,"aspergillopepsin I",real
A01.016,"AOAP peptidase",alternative
A01.016,"aspergillopepsin A",alternative
A01.016,"aspergillopeptidase A",alternative
A01.016,"aspartic proteinase II-1 ({Aspergillus oryzae})",alternative
A01.016,molsin,alternative
A01.016,oryzepsin,alternative
A01.016,"proctase B",alternative
A01.016,"proteinase B",alternative
A01.016,"PepA g.p. ({Aspergillus niger})",alternative
A01.016,"protease type XIII ({Aspergillus saitou})",alternative
A01.016,"prtB g.p. ({Aspergillus nidulans})",alternative
A01.017,endothiapepsin,real
A01.017,"{Endothia} aspartic proteinase",alternative
A01.017,Suparen,alternative
A01.017,"aspartic proteinase ({Endothia})",index
A01.018,saccharopepsin,real
A01.018,"allergen Rhi o 1 ({Rhizopus oryzae})",alternative
A01.018,"aspartic proteinase ({Neurospora})",alternative
A01.018,"{Neurospora} aspartic proteinase",alternative
A01.018,neurosporapepsin,alternative
A01.018,"PEP2 g.p. ({Aspergillus fumigatus})",alternative
A01.018,"pep-4 g.p. ({Neurospora crassa})",alternative
A01.018,"PEP4 g.p. ({Saccharomyces cerevisiae})",alternative
A01.018,"peptidase E ({Aspergillus fumigatus})",alternative
A01.018,"{Saccharomyces cerevisiae} aspartic proteinase",alternative
A01.018,"yeast proteinase A",alternative
A01.018,"yscA g.p. ({Saccharomyces cerevisiae})",alternative
A01.018,"aspartic proteinase ({Saccharomyces cerevisiae})proteinase A ({Saccharomyces})",index
A01.019,polyporopepsin,real
A01.019,"{Irpex lacteus} aspartic peptidase",alternative
A01.019,"{Polyporus} aspartic proteinase",alternative
A01.019,"aspartic proteinase ({Polyporus})",index
A01.020,phytepsin,real
A01.020,"arctiumisin ({Arctium minus})",alternative
A01.020,"At1g11910 ({Arabidopsis thaliana})",alternative
A01.020,"AtPaspA1 ({Arabidopsis thaliana})",alternative
A01.020,"AtPaspA2 ({Arabidopsis thaliana})",alternative
A01.020,"AtPaspA3 ({Arabidopsis thaliana})",alternative
A01.020,"cardosin A ({Cynara cardunculus})",alternative
A01.020,"cardosin B ({Cynara cardunculus})",alternative
A01.020,"cardosin C ({Cynara cardunculus})",alternative
A01.020,"cardosin D ({Cynara cardunculus})",alternative
A01.020,"cenprosin {Centauria calcitrapa}",alternative
A01.020,"cirsin ({Cirsium vulgare})",alternative
A01.020,"CPA63 allergen ({Cryptomeria japonica})",alternative
A01.020,"cynarase ({Cynara cardunculus})",alternative
A01.020,cyprosin,alternative
A01.020,LeAspP,alternative
A01.020,oryzasin,alternative
A01.020,"pra-1 g.p. ({Arabidopsis thaliana})",alternative
A01.020,"salpichroin ({Salpichroa origanifolia})",alternative
A01.020,"soyAP1 ({Glycine max})",alternative
A01.020,"soyAP2 ({Glycine max})",alternative
A01.020,"StAsp ({Solanum tuberosum})",alternative
A01.020,"WAP1 ({Triticum aestivum})",alternative
A01.020,"WAP2 ({Triticum aestivum})",alternative
A01.020,"aspartic endopeptidase, seed",index
A01.021,"plasmepsin ({Plasmodium} sp.)",real
A01.022,plasmepsin-1,real
A01.022,"aspartic hemoglobinase I ({Plasmodium falciparum})",alternative
A01.022,PFAPG,alternative
A01.022,"plasmepsin I",alternative
A01.022,"plasmepsin Pf-I",alternative
A01.022,"hemoglobinase I ({Plasmodium falciparum})",index
A01.023,plasmepsin-2,real
A01.023,"aspartic hemoglobinase II ({Plasmodium falciparum})",alternative
A01.023,PFAPD,alternative
A01.023,"plasmepsin II",alternative
A01.023,"plasmepsin Pf-2",alternative
A01.023,"hemoglobinase II ({Plasmodium falciparum})",index
A01.026,"peptidase F",real
A01.027,trichodermapepsin,real
A01.028,"embryonic pepsin ({Gallus gallus})",real
A01.028,"pepsin, embryonic",index
A01.030,yapsin-1,real
A01.030,"CgYps1 peptidase ({Candida glabrata})",alternative
A01.030,"YAP3 [obs.] g.p. ({Saccharomyces cerevisiae})",alternative
A01.030,"YPS1 g.p. ({Saccharomyces cerevisiae})",alternative
A01.030,"yeast aspartic protease 3",alternative
A01.031,yapsin-2,real
A01.031,"MKC7 g.p. [obs.] ({Saccharomyces cerevisiae})",alternative
A01.031,"YPS2 g.p. ({Saccharomyces cerevisiae})",alternative
A01.035,yapsin-3,real
A01.035,"YPS3 g.p. ({Saccharomyces cerevisiae})",alternative
A01.036,"axp peptidase ({Yarrowia lipolytica})",real
A01.036,"acid extracellular protease ({Yarrowia lipolytica})",alternative
A01.037,canditropsin,real
A01.037,"{Candida tropicalis} secreted aspartic protease (SAPT)",alternative
A01.037,"secreted aspartic protease ({Candida tropicalis})",index
A01.038,candiparapsin,real
A01.038,candidaparapsin,alternative
A01.038,"Sapp1 g.p. ({Candida parapsilosis})",alternative
A01.040,nepenthesin,real
A01.040,"{Nepenthes} aspartic endopeptidase",alternative
A01.040,"nepenthesin-1 ({Nepenthes} sp.)",alternative
A01.040,"nepenthesin-2 ({Nepenthes} sp.)",alternative
A01.040,"aspartic endopeptidase ({Nepenthes})",index
A01.041,"BACE2 g.p. ({Homo sapiens})",real
A01.041,"ALP56 protein",alternative
A01.041,"Asp1 protease",alternative
A01.041,"beta-secretase (putative)",alternative
A01.041,"beta-site APP-cleaving enzyme 2",alternative
A01.041,"breast-cancer-related aspartic proteinase",alternative
A01.041,"Down region aspartic protease",alternative
A01.041,DRAP,alternative
A01.041,memapsin-1,alternative
A01.041,"Alzheimer&rsquo;s disease beta-secretase (putative)secretase, beta (putative), Alzheimer&rsquo;s disease",index
A01.042,syncephapepsin,real
A01.043,"histoaspartic peptidase ({Plasmodium falciparum})",real
A01.043,"HAP aspartic peptidase",alternative
A01.043,plasmepsin-3,alternative
A01.044,podosporapepsin,real
A01.045,nothepsin,real
A01.045,"cathepsin E-A ({Gallus gallus})",alternative
A01.045,"nothepsin-like peptidase ({Chionodraco hamatus})",alternative
A01.046,"napsin A",real
A01.046,"Asp4 protease",alternative
A01.046,dap1,alternative
A01.046,dap2,alternative
A01.046,"decidual aspartyl protease",alternative
A01.046,"kidney aspartic protease ({Mus musculus})",alternative
A01.046,"Mername-AA043 peptidase",alternative
A01.046,"TA02 protein",alternative
A01.050,"CND41 peptidase",real
A01.050,"CND41 peptidase ({Nicotiana})",alternative
A01.050,"Mername-AA044 peptidase",alternative
A01.051,"pepsin F",real
A01.051,"pregnancy-associated aspartic endopeptidase",alternative
A01.051,"pregnancy-associated glycoprotein 2",alternative
A01.051,"pregnancy-associated glycoprotein 12",alternative
A01.051,"aspartic endopeptidase, pregnancy-associatedpepsinogen F",index
A01.052,"Mername-AA045 peptidase",real
A01.052,"aspartic protease NM1 ({Bos taurus})",alternative
A01.052,"Q29452 peptidase ({Bos taurus})",alternative
A01.053,necepsin-1,real
A01.053,"asp-1 g.p. ({Caenorhabditis elegans})",alternative
A01.053,"Mername-AA046 peptidase",alternative
A01.053,"Na-APR-2 g.p. ({Necator americanus})",alternative
A01.053,nemepsin-3,alternative
A01.053,"Sc-ASP110 ({Steinernema carpocapsae})",alternative
A01.053,"Sc-ASP155 ({Steinernema carpocapsae})",alternative
A01.054,"tick heme-binding aspartic proteinase ({Rhipicephalus microplus})",real
A01.054,THAP,alternative
A01.055,"Mername-AA047 peptidase",real
A01.055,"gastric endopeptidase ({Gadus morhua})",alternative
A01.055,"pepsin ({Gadus morhua})",alternative
A01.056,"Yps1 protein ({Schizosaccharomyces pombe})",real
A01.057,"Mername-AA034 peptidase",real
A01.057,"Mer-A01AAA peptidase",alternative
A01.058,eimepsin,real
A01.058,"CHT3 g.p. ({Tetrahymena thermophila})",alternative
A01.058,"plasmepsin-6 ({Plasmodium falciparum})",alternative
A01.059,plasmepsin-4,real
A01.059,"plasmepsin IV ({Plasmodium falciparum})",alternative
A01.060,"candidapepsin SAP2",real
A01.060,"secreted aspartic proteinase 2 ({Candida albicans})",alternative
A01.060,"SAP2 g.p. ({Candida albicans})",alternative
A01.060,"SAP2 proteinase ({Candida albicans})",alternative
A01.060,"{Candida albicans} secreted aspartic proteinase 2",index
A01.061,"candidapepsin SAP3",real
A01.061,"secreted aspartic proteinase 3 ({Candida albicans})",alternative
A01.061,"SAP3 g.p. ({Candida albicans})",alternative
A01.061,"SAP3 proteinase ({Candida albicans})",alternative
A01.061,"{Candida albicans} secreted aspartic proteinase 3",index
A01.062,"candidapepsin SAP4",real
A01.062,"secreted aspartic proteinase 4 ({Candida albicans})",alternative
A01.062,"SAP4 g.p. ({Candida albicans})",alternative
A01.062,"SAP4 proteinase ({Candida albicans})",alternative
A01.062,"{Candida albicans} secreted aspartic proteinase 4",index
A01.063,"candidapepsin SAP5",real
A01.063,"secreted aspartic proteinase 5 ({Candida albicans})",alternative
A01.063,"SAP5 g.p. ({Candida albicans})",alternative
A01.063,"SAP5 proteinase ({Candida albicans})",alternative
A01.063,"{Candida albicans} secreted aspartic proteinase 5",index
A01.064,"candidapepsin SAP6",real
A01.064,"secreted aspartic proteinase 6 ({Candida albicans})",alternative
A01.064,"SAP6 g.p. ({Candida albicans})",alternative
A01.064,"SAP6 proteinase ({Candida albicans})",alternative
A01.064,"{Candida albicans} secreted aspartic proteinase 6",index
A01.065,"candidapepsin SAP7",real
A01.065,"secreted aspartic proteinase 7 ({Candida albicans})",alternative
A01.065,"SAP7 g.p. ({Candida albicans})",alternative
A01.065,"SAP7 proteinase ({Candida albicans})",alternative
A01.065,"{Candida albicans} secreted aspartic proteinase 7",index
A01.066,"candidapepsin SAP8",real
A01.066,"secreted aspartic proteinase 8 ({Candida albicans})",alternative
A01.066,"SAP8 g.p. ({Candida albicans})",alternative
A01.066,"SAP8 proteinase ({Candida albicans})",alternative
A01.066,"{Candida albicans} secreted aspartic proteinase 8",index
A01.067,"candidapepsin SAP9",real
A01.067,"secreted aspartic proteinase 9 ({Candida albicans})",alternative
A01.067,"SAP6 ({Metschnikowia reukaufii})",alternative
A01.067,"SAP9 g.p. ({Candida albicans})",alternative
A01.067,"SAP9 proteinase ({Candida albicans})",alternative
A01.067,"{Candida albicans} secreted aspartic proteinase 9",index
A01.068,necepsin-2,real
A01.068,"Acasp-1 ({Ancylostoma caninum})",alternative
A01.068,"asp-4 g.p. ({Caenorhabditis elegans})",alternative
A01.068,"BmAsp-2 ({Brugia malay1})",alternative
A01.068,"Na-APR-1 g.p. ({Necator americanus})",alternative
A01.068,nemepsin-2,alternative
A01.068,"R12H7.2 protein ({Caenorhabditis elegans})",alternative
A01.069,"CDR1 peptidase ({Arabidopsis}-type)",real
A01.069,"CONSTITUTIVE DISEASE RESISTANCE 1 g.p.",alternative
A01.069,"nodulin 41 ({Phaseolus vulgaris})",alternative
A01.070,"pepsin A4",real
A01.070,"pepsinogen A4",alternative
A01.070,"PGA4 g.p. ({Homo sapiens})",alternative
A01.071,"pepsin A5 ({Homo sapiens})",real
A01.071,"pepsinogen A5",alternative
A01.071,"PGA5 g.p. ({Homo sapiens})",alternative
A01.073,nucellin,real
A01.073,"OsAsp1 ({Oryza sativa})",alternative
A01.074,"PCS1 peptidase",real
A01.074,"AtASP38 peptidase ({Arabidopsis thaliana})",alternative
A01.074,"PROMOTION OF CELL SURVIVAL 1",alternative
A01.075,"plasmepsin-5 ({Plasmodium} sp.)",real
A01.075,"plasmepsin V",alternative
A01.076,"Sapp2p peptidase ({Candida parapsilosis})",real
A01.077,"CtsD peptidase ({Aspergillus}-type)",real
A01.077,"PepAd peptidase ({Aspergillus niger})",alternative
A01.078,"CnAP1 peptidase",real
A01.079,"PepAa peptidase",real
A01.080,"PepAb peptidase",real
A01.081,"PepAc peptidase",real
A01.082,"SA76 peptidase ({Trichoderma sp.})",real
A01.082,"Asp55 peptidase ({Trichoderma asperellum})",alternative
A01.083,"hCG1733572 ({Homo sapiens})-type putative peptidase",real
A01.084,"yolk cathepsin ({Boophilus} sp.)",real
A01.084,"{Boophilus} yolk cathepsin",alternative
A01.084,BYC,alternative
A01.084,"Mername-AA137 peptidase",alternative
A01.084,"tick egg-yolk aspartic proteinase ({Boophilus microplus})",alternative
A01.085,"candidapepsin SAP10",real
A01.085,"secreted aspartic proteinase 10 ({Candida albicans})",alternative
A01.086,"S5 peptidase ({Oryza sativa})",real
A01.087,"toxomepsin 1",real
A01.087,"TgASP1 ({Toxoplasma gondii})",alternative
A01.088,"pepsin (fish)",real
A01.089,"pregnancy-associated glycoprotein 2",real
A01.092,"CAD2 peptidase ({Musca domestica})",real
A01.093,"CAD3 peptidase ({Musca domestica})",real
A01.093,"CG13095 protein ({Drosophila melanogaster})",alternative
A01.094,"pregnancy-associated glycoprotein 12",real
A01.095,"shewasin A ({Shewanella amazonensis})",real
A01.095,"shewasin D ({Shewanella denitrificans})",alternative
A01.096,chlapsin,real
A01.097,"GPI-anchored aspartic peptidase ({Saccharomyces}-type)",real
A01.097,"HpYPS7 peptidase ({Hansenula polymorpha})",alternative
A01.098,"ASP5 g.p. ({Toxoplasma gondii})",real
A01.098,TgASP5,alternative
A01.950,"cockroach allergen",real
A01.950,"allergen Bla g 2 ({Blatella germanica})",alternative
A01.971,"pregnancy-associated glycoprotein 1",real
A01.971,PAG-1,alternative
A01.973,"family A1 unassigned non-peptidase homologues",real
A01.974,"xylanase inhibitor precursor",real
A01.A01,"CG31926 protein ({Drosophila melanogaster})",real
A01.A01,CG10872,alternative
A01.A01,"MIP16750 protein",alternative
A01.A02,"At1g62290 ({Arabidopsis thaliana})",real
A01.A02,"TcAP1 peptidase ({Theobroma cacao})",alternative
A01.A02,"TcAP2 peptidase ({Theobroma cacao})",alternative
A01.A03,"At4g04460 ({Arabidopsis thaliana})",real
A01.A04,"CG17283-RA ({Drosophila melanogaster})",real
A01.A04,"MIP25078 protein",alternative
A01.A05,"At1g01300 ({Arabidopsis thaliana})-type peptidase",real
A01.A06,"At1g25510 ({Arabidopsis thaliana})-type peptidase",real
A01.A07,"At1g79720 ({Arabidopsis thaliana})-type peptidase",real
A01.A08,"At2g42980 ({Arabidopsis thaliana})",real
A01.A09,"ASPG1 peptidase",real
A01.A09,"ASPARTIC PROTEASE IN GUARD CELL 1",alternative
A01.A09,"At3g18490 g.p. ({Arabidopsis thaliana})",alternative
A01.A09,"Mername-AA260 peptidase",alternative
A01.A10,"At3g20015 ({Arabidopsis thaliana})-type peptidase",real
A01.A11,"At3g25700 ({Arabidopsis thaliana})-type peptidase",real
A01.A12,"At3g59080 ({Arabidopsis thaliana})",real
A01.A13,"At3g61820 ({Arabidopsis thaliana})",real
A01.A14,"At5g10760 ({Arabidopsis thaliana})",real
A01.A14,AED1,alternative
A01.A14,"apoplastic EDS1-dependent protein-1",alternative
A01.A15,"At5g10770 ({Arabidopsis thaliana})",real
A01.A16,"At1g31450 ({Arabidopsis thaliana})",real
A01.A17,"At1g64830 ({Arabidopsis thaliana})",real
A01.A18,"At2g28010 ({Arabidopsis thaliana})",real
A01.A18,"CDS10 peptidase ({Arabidopsis thaliana})",alternative
A01.A19,"At2g28030 ({Arabidopsis thaliana})",real
A01.A20,"At2g28040 ({Arabidopsis thaliana})",real
A01.A21,"At2g28220 ({Arabidopsis thaliana})",real
A01.A22,"At2g35615 ({Arabidopsis thaliana})",real
A01.A23,"At3g02740 ({Arabidopsis thaliana})-type peptidase",real
A01.A24,"At1g44130 ({Arabidopsis thaliana})-type peptidase",real
A01.A25,"At1g49050 ({Arabidopsis thaliana})-type peptidase",real
A01.A26,"At1g77480 ({Arabidopsis thaliana})",real
A01.A27,"At4g33490 ({Arabidopsis thaliana})-type peptidase",real
A01.A28,"At1g66180 ({Arabidopsis thaliana})",real
A01.A29,"At2g39710 ({Arabidopsis thaliana})-type peptidase",real
A01.A30,"At3g12700 ({Arabidopsis thaliana})-type peptidase",real
A01.A30,"NANA g.p. ({Arabidopsis thaliana})",alternative
A01.A31,"At5g37540 ({Arabidopsis thaliana})",real
A01.A32,"At1g69100 ({Arabidopsis thaliana})",real
A01.A33,"At4g22050 ({Arabidopsis thaliana})",real
A01.A34,"At1g05840 ({Arabidopsis thaliana})-type peptidase",real
A01.A35,"At1g08210 ({Arabidopsis thaliana})",real
A01.A36,"At1g09750 ({Arabidopsis thaliana})-type peptidase",real
A01.A36,AED3,alternative
A01.A36,"apoplastic EDS1-dependent protein-3",alternative
A01.A37,"A39 g.p. ({Arabidopsis thaliana})",real
A01.A37,"At1g65240 ({Arabidopsis thaliana})",alternative
A01.A38,"At2g17760 ({Arabidopsis thaliana})-type peptidase",real
A01.A39,"At2g23945 ({Arabidopsis thaliana})-type peptidase",real
A01.A40,"At2g36670 ({Arabidopsis thaliana})-type peptidase",real
A01.A41,"At3g42550 ({Arabidopsis thaliana})",real
A01.A42,"At3g50050 ({Arabidopsis thaliana})",real
A01.A43,"At3g51330 ({Arabidopsis thaliana})",real
A01.A44,"At3g51340 ({Arabidopsis thaliana})",real
A01.A45,"At3g51350 ({Arabidopsis thaliana})",real
A01.A46,"At3g51360 ({Arabidopsis thaliana})",real
A01.A47,"At3g52500 ({Arabidopsis thaliana})-type peptidase",real
A01.A48,"At3g54400 ({Arabidopsis thaliana})-type peptidase",real
A01.A49,"At4g12920 ({Arabidopsis thaliana})",real
A01.A49,"UNDEAD g.p. ({Arabidopsis thaliana})",alternative
A01.A50,"At4g16560 ({Arabidopsis thaliana})-type peptidase",real
A01.A51,"At4g30030 ({Arabidopsis thaliana})",real
A01.A52,"At4g30040 ({Arabidopsis thaliana})",real
A01.A53,"At4g35880 ({Arabidopsis thaliana})-type peptidase",real
A01.A54,"At5g07030 ({Arabidopsis thaliana})-type peptidase",real
A01.A54,"MOJ9.20 g.p. ({Arabidopsis thaliana})",alternative
A01.A55,"At5g10080 ({Arabidopsis thaliana})-type peptidase",real
A01.A55,"VIAP17 ({Vitis} sp.)",alternative
A01.A56,"At5g22850 ({Arabidopsis thaliana})-type peptidase",real
A01.A56,"AP13 ({Vitis quinquangularis})",alternative
A01.A57,"At5g24820-type peptidase",real
A01.A58,"A36 g.p. ({Arabidopsis thaliana})",real
A01.A58,"At5g36260 ({Arabidopsis thaliana})",alternative
A01.A59,"At5g43100 ({Arabidopsis thaliana})-type peptidase",real
A01.A60,"At5g45120 ({Arabidopsis thaliana})-type peptidase",real
A01.A62,"yapsin-6 ({Saccharomyces cerevisiae})",real
A01.A63,"CG13374 protein ({Drosophila melanogaster})",real
A01.A63,"EG:EG0001.1 protein ({Drosophila melanogaster})",alternative
A01.A64,"CG10104 g.p.({Drosophila melanogaster})",real
A01.A65,"CG5863 protein ({Drosophila melanogaster})",real
A01.A66,"CG5860 protein ({Drosophila melanogaster})",real
A01.A67,"CG31928 protein ({Drosophila melanogaster})",real
A01.A68,"CG10872 protein ({Drosophila melanogaster})",real
A01.A69,"asp-3 g.p. ({Caenorhabditis elegans})",real
A01.A69,"H22K11.1 protein ({Caenorhabditis elegans})",alternative
A01.A70,"K10C2.3 protein ({Caenorhabditis elegans})",real
A01.A71,"asp-6 g.p. ({Caenorhabditis elegans})",real
A01.A71,"F21F8.7 protein ({Caenorhabditis elegans})",alternative
A01.A72,"F59D6.3 protein ({Caenorhabditis elegans})",real
A01.A73,"Y39B6B.h protein ({Caenorhabditis elegans})",real
A01.A74,"F21F8.4 protein ({Caenorhabditis elegans})",real
A01.A75,"C11D2.2 g.p. ({Caenorhabditis elegans})",real
A01.A76,"C15C8.3 g.p. ({Caenorhabditis elegans})",real
A01.A77,"F59D6.2 g.p. ({Caenorhabditis elegans})",real
A01.A78,"CG17134 protein ({Drosophila melanogaster})",real
A01.A79,"CG6508 protein ({Drosophila melanogaster})",real
A01.A81,"CG10872 protein ({Drosophila melanogaster})",real
A01.A81,"CG33128 protein",alternative
A01.A82,"Ceasp1 protein ({Caenorhabditis elegans})",real
A01.A83,"F28A12.4 g.p. ({Caenorhabditis elegans})",real
A01.A84,"asp-2 g.p. ({Caenorhabditis elegans})",real
A01.A84,"T18H9.2 protein ({Caenorhabditis elegans})",alternative
A01.A85,"Y39B6A.23 g.p. ({Caenorhabditis elegans})",real
A01.A86,"Y39B6A.24 g.p. ({Caenorhabditis elegans})",real
A01.A87,"ZK384.3 g.p. domain 1 ({Caenorhabditis elegans})",real
A01.A88,"DDB_0205773 ({Dictyostelium discoideum})",real
A01.A89,"DDB_G0279411 ({Dictyostelium discoideum})",real
A01.A89,"ctsD ({Dictyostelium discoideum})",alternative
A01.A90,"DDB_G0277581 ({Dictyostelium discoideum})",real
A01.A91,"Sxa1 peptidase ({Schizosaccharomyces pombe})",real
A01.A92,"DDB_G0270722 g.p. ({Dictyostelium discoideum})",real
A01.A93,plasmepsin-10,real
A01.A93,"PF3D7_0808200 g.p. ({Plasmodium falciparum})",alternative
A01.A93,"plasmepsin X",alternative
A01.A94,"SCRG_02223 g.p. ({Saccharomyces cerevisiae})",real
A01.A95,plasmepsin-9,real
A01.A95,"PF14_0281 g.p. ({Plasmodium falciparum})-like",alternative
A01.A95,"plasmepsin IX",alternative
A01.A95,"TgASP3 g.p. ({Toxoplasma gondii})",alternative
A01.A95,"toxomepsin 3",alternative
A01.P01,"napsin B pseudogene",real
A01.P01,"Asp3 putative protease",alternative
A01.P02,"CYMP g.p. ({Homo sapiens})",real
A01.P02,"chymosin pseudogene ({Homo sapiens})",alternative
A01.UNA,"subfamily A1A non-peptidase homologues",real
A01.UNA,"Rv0977 g.p. ({Mycobacterium tuberculosis})",alternative
A01.UNB,"subfamily A1B non-peptidase homologues",real
A01.UNW,"family A1 non-peptidase homologues",real
A01.UNW,"Lma-p54 protien ({Leucophaea maderae})",alternative
A01.UPA,"subfamily A1A unassigned peptidases",real
A01.UPA,"Cap1 peptidase ({Cryptococcus sp. S-2})",alternative
A01.UPA,"cathepsin D hemoglobinase ({Ixodes ricinus})",alternative
A01.UPA,"Eap1 ({Sporisorium reilianum})",alternative
A01.UPA,IrCD1,alternative
A01.UPA,"MAY1 peptidase ({Cryptococcus neoformans})",alternative
A01.UPA,"MpAPr1 ({Metschnikowia pulcherrima})",alternative
A01.UPA,"PsoP1 peptidase ({Piptoporus soloniensis})",alternative
A01.UPA,"Tv-CatD ({Trichomonas vaginalis})",alternative
A01.UPB,"subfamily A1B unassigned peptidases",real
A01.UPW,"family A1 unassigned peptidases",real
A01.UPW,"aspS g.p. ({Sclerotinia sclerotiorum})",alternative
A01.UPW,"ASPARTIC PEPTIDASE NODULE-INDUCED 1 ({Lotus japonicus})",alternative
A01.UPW,"AtAPCB1 ({Arabidopsis thaliana})",alternative
A01.UPW,"ATYPICAL ASPARTIC PROTEASE IN ROOTS 1 (ASPR1) ({Arabidopsis thaliana})",alternative
A01.UPW,"babesipsin ({Babesia} sp.)",alternative
A01.UPW,"{Glomerella} endopeptidase",alternative
A01.UPW,"HcPEP2 peptidase ({Haemonchus contortus})",alternative
A01.UPW,"gross cystic disease fluid protein (15 kDa)",alternative
A01.UPW,"milk-clotting endopeptidase ({Withania coagulans})",alternative
A01.UPW,nucellin,alternative
A01.UPW,"OsAP25 ({Oryz sativa})",alternative
A01.UPW,"OsAP37 ({Oryz sativa})",alternative
A01.UPW,"OsAP65 ({Oryz sativa})",alternative
A01.UPW,"P6281 peptidase ({Trichoderma harzianum})",alternative
A01.UPW,"Pep2 g.p. ({Aspergillus fumigatus})",alternative
A01.UPW,"PepN ({Aspergillus niger})",alternative
A01.UPW,"plasmepsin VII ({Plasmodium berghei})",alternative
A01.UPW,"plasmepsin VIII ({Plasmodium berghei})",alternative
A01.UPW,"plasmepsin IX ({Plasmodium berghei})",alternative
A01.UPW,"plasmepsin X ({Plasmodium berghei})",alternative
A01.UPW,"pr1 g.p. ({Phaffia rhodozyma})",alternative
A01.UPW,"Sapp2p ({Candida parapsilosis})",alternative
A01.UPW,"strongyloidespepsin ({Strongyloides stercoralis})",alternative
A01.UPW,"Sapp3p peptidase ({Candida parapsilosis})",alternative
A01.UPW,"yapsin 7",alternative
A01.UPW,"Bla g 1 antigen ({Blatella germanica})Bla g 2 antigen ({Blatella germanica})cathepsin ({Boophilus})GCDFP-15gp17",index
A02.001,"HIV-1 retropepsin",real
A02.001,"HIV-1 protease",alternative
A02.001,"retropepsin (human immunodeficiency virus 1)",alternative
A02.002,"HIV-2 retropepsin",real
A02.002,"HIV-2 protease",alternative
A02.002,"retropepsin (human immunodeficiency virus 2)",alternative
A02.003,"simian immunodeficiency virus retropepsin",real
